date,gm1
10.05.2016,"197,7"
11.05.2016,"198,1"
12.05.2016,199
13.05.2016,"198,8"
16.05.2016,"198,8"
17.05.2016,"198,5"
18.05.2016,"199,4"
19.05.2016,"199,7"
20.05.2016,"199,5"
23.05.2016,"198,9"
24.05.2016,"199,7"
25.05.2016,"200,1"
26.05.2016,"200,1"
27.05.2016,"203,1"
30.05.2016,"203,1"
31.05.2016,"203,6"
01.06.2016,"204,1"
02.06.2016,"203,5"
03.06.2016,"202,7"
06.06.2016,"203,6"
07.06.2016,"202,7"
08.06.2016,"203,5"
09.06.2016,"204,9"
10.06.2016,"204,6"
13.06.2016,"203,6"
14.06.2016,"200,8"
15.06.2016,"198,6"
16.06.2016,"197,6"
17.06.2016,"197,8"
20.06.2016,"196,8"
21.06.2016,"198,1"
22.06.2016,"200,6"
23.06.2016,"201,1"
24.06.2016,"201,6"
27.06.2016,"201,4"
28.06.2016,"196,4"
29.06.2016,"193,6"
30.06.2016,"196,1"
01.07.2016,"197,9"
04.07.2016,"199,8"
05.07.2016,"200,9"
06.07.2016,200
07.07.2016,"199,5"
08.07.2016,"198,7"
11.07.2016,"199,9"
12.07.2016,"202,5"
13.07.2016,"204,5"
14.07.2016,"205,9"
15.07.2016,"205,9"
18.07.2016,"206,5"
19.07.2016,"207,1"
20.07.2016,"207,2"
21.07.2016,"207,5"
22.07.2016,"207,9"
25.07.2016,"208,1"
26.07.2016,"208,2"
27.07.2016,"208,2"
28.07.2016,"208,9"
29.07.2016,209
01.08.2016,"208,9"
02.08.2016,209
03.08.2016,"208,1"
04.08.2016,"206,6"
05.08.2016,"207,6"
08.08.2016,"208,3"
09.08.2016,"210,2"
10.08.2016,"210,9"
11.08.2016,"211,4"
12.08.2016,"212,1"
15.08.2016,"212,1"
16.08.2016,213
17.08.2016,"211,6"
18.08.2016,"210,8"
19.08.2016,"209,8"
22.08.2016,"210,1"
23.08.2016,"209,6"
24.08.2016,"209,2"
25.08.2016,"209,8"
26.08.2016,"209,8"
29.08.2016,"209,1"
30.08.2016,"210,3"
31.08.2016,"210,2"
01.09.2016,"210,4"
02.09.2016,"210,2"
05.09.2016,"210,8"
06.09.2016,"212,3"
07.09.2016,"212,8"
08.09.2016,"212,6"
09.09.2016,"212,8"
12.09.2016,"212,1"
13.09.2016,"210,6"
14.09.2016,"209,2"
15.09.2016,"208,2"
16.09.2016,"207,7"
19.09.2016,"208,2"
20.09.2016,"208,4"
21.09.2016,"209,2"
22.09.2016,210
23.09.2016,"210,7"
26.09.2016,"212,2"
27.09.2016,"210,9"
28.09.2016,210
29.09.2016,"210,4"
30.09.2016,"210,9"
03.10.2016,211
04.10.2016,"210,8"
05.10.2016,"211,3"
06.10.2016,"211,5"
07.10.2016,"211,6"
10.10.2016,"211,5"
11.10.2016,"210,8"
12.10.2016,"211,5"
13.10.2016,"211,3"
14.10.2016,"210,4"
17.10.2016,"210,1"
18.10.2016,"210,5"
19.10.2016,"210,9"
20.10.2016,"212,3"
21.10.2016,"212,9"
24.10.2016,"213,7"
25.10.2016,214
26.10.2016,214
27.10.2016,"214,2"
28.10.2016,"213,1"
31.10.2016,"212,6"
01.11.2016,"212,6"
02.11.2016,"212,4"
03.11.2016,"210,3"
04.11.2016,209
07.11.2016,208
08.11.2016,"208,4"
09.11.2016,"210,1"
10.11.2016,"209,9"
11.11.2016,211
14.11.2016,"210,9"
15.11.2016,"210,3"
16.11.2016,"210,9"
17.11.2016,"211,5"
18.11.2016,"211,5"
21.11.2016,"212,3"
22.11.2016,"212,4"
23.11.2016,"212,7"
24.11.2016,"213,2"
25.11.2016,"213,6"
28.11.2016,"213,5"
29.11.2016,"213,9"
30.11.2016,"213,3"
01.12.2016,213
02.12.2016,"213,1"
05.12.2016,"212,5"
06.12.2016,"211,8"
07.12.2016,213
08.12.2016,213
09.12.2016,"216,4"
12.12.2016,"218,8"
13.12.2016,"218,3"
14.12.2016,"218,2"
15.12.2016,"218,1"
16.12.2016,"218,6"
19.12.2016,"218,9"
20.12.2016,"219,2"
21.12.2016,"219,6"
22.12.2016,"219,4"
23.12.2016,"218,8"
26.12.2016,"218,8"
27.12.2016,"218,5"
28.12.2016,"218,7"
29.12.2016,"219,3"
30.12.2016,219
02.01.2017,"218,7"
03.01.2017,"219,2"
04.01.2017,"220,9"
05.01.2017,"221,9"
06.01.2017,"221,9"
09.01.2017,"223,7"
10.01.2017,"222,3"
11.01.2017,"221,9"
12.01.2017,"222,7"
13.01.2017,"222,1"
16.01.2017,"222,1"
17.01.2017,"222,3"
18.01.2017,"220,8"
19.01.2017,"221,5"
20.01.2017,"221,7"
23.01.2017,"222,2"
24.01.2017,"221,3"
25.01.2017,"221,7"
26.01.2017,"223,3"
27.01.2017,"224,5"
30.01.2017,"224,5"
31.01.2017,"224,4"
01.02.2017,"222,7"
02.02.2017,"222,3"
03.02.2017,"222,8"
06.02.2017,"223,8"
07.02.2017,"224,1"
08.02.2017,"223,9"
09.02.2017,"224,5"
10.02.2017,"224,8"
13.02.2017,"226,1"
14.02.2017,"227,3"
15.02.2017,"227,9"
16.02.2017,"229,4"
17.02.2017,"229,2"
20.02.2017,"228,8"
21.02.2017,229
22.02.2017,"230,3"
23.02.2017,"231,2"
24.02.2017,"230,8"
27.02.2017,"229,6"
28.02.2017,"229,1"
01.03.2017,"228,9"
02.03.2017,"230,8"
03.03.2017,232
06.03.2017,"231,1"
07.03.2017,"230,5"
08.03.2017,"230,2"
09.03.2017,"230,1"
10.03.2017,"230,1"
13.03.2017,230
14.03.2017,"230,3"
15.03.2017,"230,9"
16.03.2017,"231,2"
17.03.2017,232
20.03.2017,"232,3"
21.03.2017,"232,6"
22.03.2017,"231,7"
23.03.2017,"230,5"
24.03.2017,"230,4"
27.03.2017,"230,7"
28.03.2017,230
29.03.2017,"230,8"
30.03.2017,"232,1"
31.03.2017,"232,9"
03.04.2017,"233,4"
04.04.2017,"233,8"
05.04.2017,"233,8"
06.04.2017,"233,6"
07.04.2017,"233,6"
10.04.2017,"234,1"
11.04.2017,"234,3"
12.04.2017,"233,9"
13.04.2017,"233,6"
14.04.2017,"233,6"
17.04.2017,"233,6"
18.04.2017,"233,5"
19.04.2017,"232,1"
20.04.2017,"231,3"
21.04.2017,"232,3"
24.04.2017,"233,1"
25.04.2017,"234,1"
26.04.2017,"236,1"
27.04.2017,237
28.04.2017,"237,1"
01.05.2017,"237,1"
02.05.2017,"236,8"
03.05.2017,"237,9"
04.05.2017,"238,2"
05.05.2017,"238,1"
08.05.2017,"238,4"
09.05.2017,239
10.05.2017,240
11.05.2017,"240,6"
12.05.2017,"241,3"
15.05.2017,"241,2"
16.05.2017,"240,8"
17.05.2017,"240,4"
18.05.2017,239
19.05.2017,"236,3"
22.05.2017,"236,4"
23.05.2017,"237,1"
24.05.2017,"237,6"
25.05.2017,"237,6"
26.05.2017,"238,2"
29.05.2017,"238,6"
30.05.2017,"238,9"
31.05.2017,239
01.06.2017,"238,2"
02.06.2017,"238,3"
05.06.2017,"238,3"
06.06.2017,"239,9"
07.06.2017,"239,8"
08.06.2017,"239,9"
09.06.2017,"239,9"
12.06.2017,"241,4"
13.06.2017,"240,5"
14.06.2017,"239,9"
15.06.2017,"239,9"
16.06.2017,"239,5"
19.06.2017,"239,4"
20.06.2017,"240,3"
21.06.2017,"241,5"
22.06.2017,"240,5"
23.06.2017,"240,5"
26.06.2017,"240,5"
27.06.2017,"240,9"
28.06.2017,"239,9"
29.06.2017,"237,8"
30.06.2017,"237,1"
03.07.2017,"236,4"
04.07.2017,"237,4"
05.07.2017,"237,5"
06.07.2017,"237,9"
07.07.2017,237
10.07.2017,"236,1"
11.07.2017,"237,1"
12.07.2017,"237,6"
13.07.2017,"237,6"
14.07.2017,"239,5"
17.07.2017,"239,9"
18.07.2017,"239,8"
19.07.2017,"238,8"
